Scholarship Name,Provider,Eligibility,Amount
Merit Cum Means Scholarship for Professional and Technical Courses (CS) Minorities,Ministry of Minority Affairs,"Students pursuing a technical/professional course at UG/PG level with at least 50% marks, with family income not exceeding INR 2.5 L","INR 20,000 per year"
Scholarships for Top Class Education for Students with Disabilities,"Department of Empowerment of Persons with Disabilities, Ministry of Social Justice and Empowerment","A person with 40% disability issued by competent medical authority, with family income not exceeding INR 6 L","INR 2 L Tuition Fee, INR 30,000 for computer and assistive devices and other perks"
PM’s Scholarship Scheme for Central Armed Police Forces and Assam Rifles,"Welfare and Rehabilitation Board, Ministry of Home Affairs","Ward/Widows of AF & CAPFs personnel who are- died in harness/ retired/ serving. Pursuing first professional degree programme in the fields of Engineering, Medicine, Dental, and Veterinary. 60% marks in MEQ","INR 30,000 (Boys) INR 36,000 (Girls)"
AICTE PG (GPAT/GATE) Scholarship,AICTE,GATE/GPAT qualified candidates,"INR 12,400 per month"
Kishore Vaigyanik Protsahan Yojana Fellowship,IISc,Students with science background wishing to pursue higher courses,"INR 20,000 (Graduate courses) INR 28,000 (Master’s courses)"
Financial Assistance for Education of the Wards of Beedi/Cine/IOMC/LSDM Workers- Post Matric,Ministry of Labour and Employment,"Students enrolled in General or Technical education. Children of Beedi, ore and mine workers with at least six months of service. Family income not exceeding INR 10,000 per month.","INR 6,000 to 25,000"
S.N. Bose Scholars Program,"SERB, DST, Govt. of India, IUSSTF, WINStep Forward",Indian citizens pursuing a Bachelor's or Masters' degree at a recognised institution of higher education.,INR 2.07 L (Living Expenses) INR 8.31 L (Tuition Fees)
Digital India Internship Scheme,National Informatics Centre (NIC),Indian students with 60% marks in BTech degree,"INR 10,000 per month"
Technical Education Scholarship Scheme for Degree Level,"Directorate of Technical Education, Vocational & Industrial Training, Government of Himachal Pradesh",Postgraduate degree holder in Engineering and Technology,INR 400 per month
NEC Merit Scholarship for Students,"North Eastern Council (NEC), Ministry of Development of North Eastern Region","Permanent resident of the North-Eastern states. Pursuing a degree course or passing with 60% marks, with family income not exceeding INR 8 L","INR 30,000 per year"
State Merit Scholarship,"Department of Higher Education, Government of Nagaland",Resident of Nagaland pursuing post matric or Non-indigenous inhabitants of Nagaland who are permanently settled in Nagaland and secured top 10 positions in Board/ University within Nagaland,-
Rajasthan Yuva Vikas Prerak (RYVP) Internship Programme,Government of Rajasthan,Engineering students between the age of 18 to 35,"INR 25,000 per month"
Post-Matric Scholarship for Persons with Disability,"Department of Social Justice and Special Assistance, Government of Maharashtra","Residents of Maharashtra with 40% or more disability, studying at post-matric level","Maintenance Allowance between INR 230 to INR 550 per month for Day Scholars Maintenance Allowance between INR 380 to INR 1,200 per month for Hostellers"
Post-Matric (Other than Intermediate) Scholarship for OBC,"Backward Classes Welfare Department, Government of Uttar Pradesh","OBC resident of Uttar Pradesh, pursuing a higher level degree, with family income not exceeding INR 2 L",Various benefits and rewards
Suvarna Jubilee Merit Scholarships,"Department of Collegiate Education, Government of Kerala",First year student of UG or PG course in Govt/ Aided colleges or University Departments belonging to BPL family with 50% or more marks in qualifying exam,"INR 10,000"
"Swami Vivekananda Merit cum Means Scholarships for Minorities, West Bengal","West Bengal Minorities Development & Finance Corporation, Government of West Bengal",Residents of West Bengal studying in class 11 or above belonging to minority communities,"Upto INR 8,000 per month"
G.P. Birla Education Scholarship,G.P. Birla Educational Foundation,Students of West Bengal who have passed 12 or higher with family income not exceeding INR 3 L,"INR 50,000 per year (Tuition fees) INR 7,000 for books purchase in the first year"
JSPN Scholarships,Jaya Satya Pramoda Nidhi (JSPN),Students from Madhwa Community with good academic record,-
Yashad-Sumedha Scholarship,"Yashad-Sumedha in partnership with Hindustan Zinc Ltd, Udaipur","BTech Ist year students from Udaipur, Rajsamand, Chittor, Bhilwara and Ajmer districts with 75% marks in SSC. Annual income not exceeding INR 2.5 L","INR 40,000 per year"
Tata Realty Scholarship for Girls,Tata Realty and Infrastructure Limited,"Girl students with 50% marks in class 12 or diploma, with family income not exceeding INR 5 L","INR 60,000 to 1 L"
Concord Biotech Limited Scholarship,Concord Biotech Limited,"have 50% marks in class 10 and 12 without any backlogs,","INR 40,000"
IOCL Scholarship,Indian Oil Corporation Scholarship Ltd,First-year students pursuing a full-time engineering degree can apply,"INR 3,000"
Tata Housing Scholarships for Meritorious Girl Students,Tata Housing,"Girl student in 2nd year of BTech degree, with family income not exceeding INR 3 L","INR 60,000"
Legrand Empowering Scholarship Program,Legrand,"12th pass girl with 75% marks and pursuing B.Tech, with family income not exceeding INR 5 L","60% of the annual academic fees up to INR 60,000 per year till the course ends"
For Young Women in Science Scholarship,Loreal India,"12th pass, pursuing a degree course",INR 2.5 L
Indo- US Fellowship for Women in STEM,"DST, Govt. of India, IUSSTF",Girls with a PhD degree in technology between the age of 27 to 45 years,INR 2 - 2.49 L
Glow and Lovely Foundation Scholarship,Glow and Lovely Career Foundation,Girl students between 15 to 30 years of age pursuing UG or pG courses,"INR 50,000"
Sanshakt Scholarship,Dr. Reddy’s Foundation,Class 12 pass,"INR 80,000 per year for 3 years"
Jagadis Bose National Science Talent Search Senior Scholarship Test,Jagadis Bose National Science Talent Search (JBNSTS),Class 12 pass girl students from West Bengal,"INR 4,000 and other benefits"
